DV_EJERCICIO;MU_CODINE;MU_NOMBRE;DV_DVIVA
2012;00909;DIPUTACIÓN;102507000.00
2013;00909;DIPUTACIÓN;83097000.00
2014;00909;DIPUTACIÓN;40382000.00
2015;00909;DIPUTACIÓN;65000.00
2016;00909;DIPUTACIÓN;181511.00
2017;00909;DIPUTACIÓN;727326.00
2018;00909;DIPUTACIÓN;778396.00
2019;00909;DIPUTACIÓN;295623.00
2020;00909;DIPUTACIÓN;1517.00
2021;00909;DIPUTACIÓN;1967.00
2021;03001;Adsubia;0.00
2020;03001;Adsubia;0.00
2019;03001;Adsubia;99721.00
2018;03001;Adsubia;128212.00
2017;03001;Adsubia;156704.00
2016;03001;Adsubia;185505.00
2015;03001;Adsubia;214000.00
2014;03001;Adsubia;213687.00
2013;03001;Adsubia;257933.00
2012;03001;Adsubia;257932.00
2012;03002;Agost;1722797.00
2013;03002;Agost;1123797.00
2014;03002;Agost;845131.00
2015;03002;Agost;0.00
2016;03002;Agost;0.00
2017;03002;Agost;0.00
2018;03002;Agost;2067.00
2019;03002;Agost;2644.00
2020;03002;Agost;1417.00
2021;03002;Agost;0.00
2021;03003;Agres;0.00
2020;03003;Agres;0.00
2019;03003;Agres;0.00
2018;03003;Agres;0.00
2017;03003;Agres;0.00
2016;03003;Agres;0.00
2015;03003;Agres;0.00
2014;03003;Agres;0.00
2013;03003;Agres;46115.00
2012;03003;Agres;83114.00
2012;03004;Aigües;241000.00
2013;03004;Aigües;927410.00
2014;03004;Aigües;920521.00
2015;03004;Aigües;878000.00
2016;03004;Aigües;878481.00
2017;03004;Aigües;878481.00
2018;03004;Aigües;878481.00
2019;03004;Aigües;878481.00
2020;03004;Aigües;878481.00
2021;03004;Aigües;726583.00
2021;03005;Albatera;0.00
2020;03005;Albatera;474006.00
2019;03005;Albatera;1933364.00
2018;03005;Albatera;2534412.00
2017;03005;Albatera;3701332.00
2016;03005;Albatera;4428982.00
2015;03005;Albatera;5168000.00
2014;03005;Albatera;5952367.00
2013;03005;Albatera;5965367.00
2012;03005;Albatera;6279367.00
2012;03006;Alcalalí;72000.00
2013;03006;Alcalalí;0.00
2014;03006;Alcalalí;0.00
2015;03006;Alcalalí;0.00
2016;03006;Alcalalí;0.00
2017;03006;Alcalalí;0.00
2018;03006;Alcalalí;0.00
2019;03006;Alcalalí;0.00
2020;03006;Alcalalí;0.00
2021;03006;Alcalalí;0.00
2021;03007;Alcocer de Planes;0.00
2020;03007;Alcocer de Planes;0.00
2019;03007;Alcocer de Planes;0.00
2018;03007;Alcocer de Planes;0.00
2017;03007;Alcocer de Planes;0.00
2016;03007;Alcocer de Planes;0.00
2015;03007;Alcocer de Planes;0.00
2014;03007;Alcocer de Planes;0.00
2013;03007;Alcocer de Planes;0.00
2012;03007;Alcocer de Planes;0.00
2012;03008;Alcoleja;28880.00
2013;03008;Alcoleja;28881.00
2014;03008;Alcoleja;0.00
2015;03008;Alcoleja;0.00
2016;03008;Alcoleja;0.00
2017;03008;Alcoleja;0.00
2018;03008;Alcoleja;0.00
2019;03008;Alcoleja;0.00
2020;03008;Alcoleja;0.00
2021;03008;Alcoleja;0.00
2021;03009;Alcoy/Alcoi;23985468.00
2020;03009;Alcoy/Alcoi;22525915.00
2019;03009;Alcoy/Alcoi;23156026.00
2018;03009;Alcoy/Alcoi;22260997.00
2017;03009;Alcoy/Alcoi;23763764.00
2016;03009;Alcoy/Alcoi;22194334.00
2015;03009;Alcoy/Alcoi;24596000.00
2014;03009;Alcoy/Alcoi;28397000.00
2013;03009;Alcoy/Alcoi;30484142.00
2012;03009;Alcoy/Alcoi;33502675.00
2012;03010;Alfafara;91532.00
2013;03010;Alfafara;80533.00
2014;03010;Alfafara;40951.00
2015;03010;Alfafara;41000.00
2016;03010;Alfafara;0.00
2017;03010;Alfafara;0.00
2018;03010;Alfafara;0.00
2019;03010;Alfafara;0.00
2020;03010;Alfafara;0.00
2021;03010;Alfafara;0.00
2021;03011;Alfàs del Pi (l');7092769.00
2020;03011;Alfàs del Pi (l');7286205.00
2019;03011;Alfàs del Pi (l');7583356.00
2018;03011;Alfàs del Pi (l');9511349.00
2017;03011;Alfàs del Pi (l');11380737.00
2016;03011;Alfàs del Pi (l');13443625.00
2015;03011;Alfàs del Pi (l');14606000.00
2014;03011;Alfàs del Pi (l');13780459.00
2013;03011;Alfàs del Pi (l');15345459.00
2012;03011;Alfàs del Pi (l');16027611.00
2012;03012;Algorfa;3787290.00
2013;03012;Algorfa;3547579.00
2014;03012;Algorfa;3017579.00
2015;03012;Algorfa;2678000.00
2016;03012;Algorfa;1460155.00
2017;03012;Algorfa;459416.00
2018;03012;Algorfa;394244.00
2019;03012;Algorfa;0.00
2020;03012;Algorfa;4.00
2021;03012;Algorfa;0.00
2021;03013;Algueña;1176.00
2020;03013;Algueña;850.00
2019;03013;Algueña;390.00
2018;03013;Algueña;0.00
2017;03013;Algueña;0.00
2016;03013;Algueña;502.00
2015;03013;Algueña;267000.00
2014;03013;Algueña;266879.00
2013;03013;Algueña;390775.00
2012;03013;Algueña;521774.00
2012;03014;Alicante/Alacant;176679288.00
2013;03014;Alicante/Alacant;151668289.00
2014;03014;Alicante/Alacant;147318203.00
2015;03014;Alicante/Alacant;118859000.00
2016;03014;Alicante/Alacant;92003177.00
2017;03014;Alicante/Alacant;83677311.00
2018;03014;Alicante/Alacant;24908873.00
2019;03014;Alicante/Alacant;24629844.00
2020;03014;Alicante/Alacant;576556.00
2021;03014;Alicante/Alacant;201973.00
2021;03015;Almoradí;764619.00
2020;03015;Almoradí;1040931.00
2019;03015;Almoradí;1321383.00
2018;03015;Almoradí;1827102.00
2017;03015;Almoradí;2583789.00
2016;03015;Almoradí;3183054.00
2015;03015;Almoradí;3883000.00
2014;03015;Almoradí;4859485.00
2013;03015;Almoradí;5632903.00
2012;03015;Almoradí;6346902.00
2012;03016;Almudaina;3089.00
2013;03016;Almudaina;0.00
2014;03016;Almudaina;0.00
2015;03016;Almudaina;0.00
2016;03016;Almudaina;0.00
2017;03016;Almudaina;0.00
2018;03016;Almudaina;0.00
2019;03016;Almudaina;0.00
2020;03016;Almudaina;0.00
2021;03016;Almudaina;0.00
2021;03017;Alqueria d'Asnar (l');0.00
2020;03017;Alqueria d'Asnar (l');0.00
2019;03017;Alqueria d'Asnar (l');0.00
2018;03017;Alqueria d'Asnar (l');0.00
2017;03017;Alqueria d'Asnar (l');0.00
2016;03017;Alqueria d'Asnar (l');0.00
2015;03017;Alqueria d'Asnar (l');0.00
2014;03017;Alqueria d'Asnar (l');0.00
2013;03017;Alqueria d'Asnar (l');0.00
2012;03017;Alqueria d'Asnar (l');0.00
2012;03018;Altea;18069764.00
2013;03018;Altea;21855532.00
2014;03018;Altea;20863246.00
2015;03018;Altea;17952000.00
2016;03018;Altea;14970518.00
2017;03018;Altea;10740783.00
2018;03018;Altea;7772478.00
2019;03018;Altea;6553684.00
2020;03018;Altea;6300145.00
2021;03018;Altea;6044275.00
2021;03019;Aspe;0.00
2020;03019;Aspe;4458.00
2019;03019;Aspe;9022.00
2018;03019;Aspe;3800.00
2017;03019;Aspe;684721.00
2016;03019;Aspe;1668771.00
2015;03019;Aspe;2606000.00
2014;03019;Aspe;5924787.00
2013;03019;Aspe;7380506.00
2012;03019;Aspe;8929505.00
2012;03020;Balones;0.00
2013;03020;Balones;0.00
2014;03020;Balones;0.00
2015;03020;Balones;0.00
2016;03020;Balones;0.00
2017;03020;Balones;0.00
2018;03020;Balones;0.00
2019;03020;Balones;0.00
2020;03020;Balones;0.00
2021;03020;Balones;0.00
2021;03021;Banyeres de Mariola;887.00
2020;03021;Banyeres de Mariola;0.00
2019;03021;Banyeres de Mariola;208.00
2018;03021;Banyeres de Mariola;518.00
2017;03021;Banyeres de Mariola;1042.00
2016;03021;Banyeres de Mariola;1168.00
2015;03021;Banyeres de Mariola;0.00
2014;03021;Banyeres de Mariola;930000.00
2013;03021;Banyeres de Mariola;1167000.00
2012;03021;Banyeres de Mariola;1496000.00
2012;03022;Benasau;107628.00
2013;03022;Benasau;107629.00
2014;03022;Benasau;102268.00
2015;03022;Benasau;52000.00
2016;03022;Benasau;21341.00
2017;03022;Benasau;0.00
2018;03022;Benasau;0.00
2019;03022;Benasau;0.00
2020;03022;Benasau;0.00
2021;03022;Benasau;0.00
2021;03023;Beneixama;0.00
2020;03023;Beneixama;0.00
2019;03023;Beneixama;28000.00
2018;03023;Beneixama;156092.00
2017;03023;Beneixama;173435.00
2016;03023;Beneixama;433447.00
2015;03023;Beneixama;483000.00
2014;03023;Beneixama;637000.00
2013;03023;Beneixama;928378.00
2012;03023;Beneixama;986377.00
2012;03024;Benejúzar;338880.00
2013;03024;Benejúzar;597880.00
2014;03024;Benejúzar;65000.00
2015;03024;Benejúzar;0.00
2016;03024;Benejúzar;438.00
2017;03024;Benejúzar;110000.00
2018;03024;Benejúzar;0.00
2019;03024;Benejúzar;0.00
2020;03024;Benejúzar;0.00
2021;03024;Benejúzar;0.00
2021;03025;Benferri;152219.00
2020;03025;Benferri;253698.00
2019;03025;Benferri;377660.00
2018;03025;Benferri;501622.00
2017;03025;Benferri;625584.00
2016;03025;Benferri;755166.00
2015;03025;Benferri;822000.00
2014;03025;Benferri;845356.00
2013;03025;Benferri;875277.00
2012;03025;Benferri;909355.00
2012;03026;Beniarbeig;777405.00
2013;03026;Beniarbeig;734289.00
2014;03026;Beniarbeig;373410.00
2015;03026;Beniarbeig;373000.00
2016;03026;Beniarbeig;391619.00
2017;03026;Beniarbeig;261368.00
2018;03026;Beniarbeig;213846.00
2019;03026;Beniarbeig;166325.00
2020;03026;Beniarbeig;118803.00
2021;03026;Beniarbeig;71282.00
2021;03027;Beniardá;0.00
2020;03027;Beniardá;0.00
2019;03027;Beniardá;0.00
2018;03027;Beniardá;0.00
2017;03027;Beniardá;0.00
2016;03027;Beniardá;0.00
2015;03027;Beniardá;0.00
2014;03027;Beniardá;0.00
2013;03027;Beniardá;0.00
2012;03027;Beniardá;0.00
2012;03028;Beniarrés;125926.00
2013;03028;Beniarrés;148926.00
2014;03028;Beniarrés;143926.00
2015;03028;Beniarrés;145000.00
2016;03028;Beniarrés;106831.00
2017;03028;Beniarrés;85116.00
2018;03028;Beniarrés;97308.00
2019;03028;Beniarrés;48963.00
2020;03028;Beniarrés;34980.00
2021;03028;Beniarrés;20999.00
2021;03029;Benigembla;0.00
2020;03029;Benigembla;0.00
2019;03029;Benigembla;0.00
2018;03029;Benigembla;0.00
2017;03029;Benigembla;0.00
2016;03029;Benigembla;0.00
2015;03029;Benigembla;0.00
2014;03029;Benigembla;0.00
2013;03029;Benigembla;59380.00
2012;03029;Benigembla;79379.00
2012;03030;Benidoleig;0.00
2013;03030;Benidoleig;0.00
2014;03030;Benidoleig;0.00
2015;03030;Benidoleig;0.00
2016;03030;Benidoleig;3275.00
2017;03030;Benidoleig;0.00
2018;03030;Benidoleig;0.00
2019;03030;Benidoleig;0.00
2020;03030;Benidoleig;0.00
2021;03030;Benidoleig;0.00
2021;03031;Benidorm;8884604.00
2020;03031;Benidorm;10975222.00
2019;03031;Benidorm;17351451.00
2018;03031;Benidorm;35043679.00
2017;03031;Benidorm;49745933.00
2016;03031;Benidorm;64750231.00
2015;03031;Benidorm;78546000.00
2014;03031;Benidorm;100170478.00
2013;03031;Benidorm;119011478.00
2012;03031;Benidorm;121472220.00
2012;03032;Benifallim;0.00
2013;03032;Benifallim;0.00
2014;03032;Benifallim;0.00
2015;03032;Benifallim;0.00
2016;03032;Benifallim;0.00
2017;03032;Benifallim;0.00
2018;03032;Benifallim;0.00
2019;03032;Benifallim;0.00
2020;03032;Benifallim;0.00
2021;03032;Benifallim;0.00
2021;03033;Benifato;0.00
2020;03033;Benifato;0.00
2019;03033;Benifato;0.00
2018;03033;Benifato;0.00
2017;03033;Benifato;0.00
2016;03033;Benifato;0.00
2015;03033;Benifato;0.00
2014;03033;Benifato;0.00
2013;03033;Benifato;63841.00
2012;03033;Benifato;88841.00
2012;03034;Benijófar;2686930.00
2013;03034;Benijófar;2437931.00
2014;03034;Benijófar;2070361.00
2015;03034;Benijófar;1814000.00
2016;03034;Benijófar;1540671.00
2017;03034;Benijófar;2936840.00
2018;03034;Benijófar;2269858.00
2019;03034;Benijófar;1943863.00
2020;03034;Benijófar;1581388.00
2021;03034;Benijófar;1297233.00
2021;03035;Benilloba;62040.00
2020;03035;Benilloba;62040.00
2019;03035;Benilloba;66524.00
2018;03035;Benilloba;90060.00
2017;03035;Benilloba;124398.00
2016;03035;Benilloba;171184.00
2015;03035;Benilloba;199000.00
2014;03035;Benilloba;220814.00
2013;03035;Benilloba;279201.00
2012;03035;Benilloba;302201.00
2012;03036;Benillup;0.00
2013;03036;Benillup;134522.00
2014;03036;Benillup;0.00
2015;03036;Benillup;0.00
2016;03036;Benillup;0.00
2017;03036;Benillup;0.00
2018;03036;Benillup;0.00
2019;03036;Benillup;0.00
2020;03036;Benillup;0.00
2021;03036;Benillup;0.00
2021;03037;Benimantell;0.00
2020;03037;Benimantell;0.00
2019;03037;Benimantell;0.00
2018;03037;Benimantell;0.00
2017;03037;Benimantell;0.00
2016;03037;Benimantell;0.00
2015;03037;Benimantell;0.00
2014;03037;Benimantell;0.00
2013;03037;Benimantell;0.00
2012;03037;Benimantell;44000.00
2012;03038;Benimarfull;0.00
2013;03038;Benimarfull;0.00
2014;03038;Benimarfull;0.00
2015;03038;Benimarfull;0.00
2016;03038;Benimarfull;0.00
2017;03038;Benimarfull;0.00
2018;03038;Benimarfull;0.00
2019;03038;Benimarfull;0.00
2020;03038;Benimarfull;0.00
2021;03038;Benimarfull;0.00
2021;03039;Benimassot;0.00
2020;03039;Benimassot;0.00
2019;03039;Benimassot;0.00
2018;03039;Benimassot;0.00
2017;03039;Benimassot;0.00
2016;03039;Benimassot;0.00
2015;03039;Benimassot;0.00
2014;03039;Benimassot;0.00
2013;03039;Benimassot;26065.00
2012;03039;Benimassot;26065.00
2012;03040;Benimeli;0.00
2013;03040;Benimeli;0.00
2014;03040;Benimeli;0.00
2015;03040;Benimeli;0.00
2016;03040;Benimeli;0.00
2017;03040;Benimeli;0.00
2018;03040;Benimeli;0.00
2019;03040;Benimeli;0.00
2020;03040;Benimeli;0.00
2021;03040;Benimeli;0.00
2021;03041;Benissa;0.00
2020;03041;Benissa;2.00
2019;03041;Benissa;23283.00
2018;03041;Benissa;27.00
2017;03041;Benissa;736.00
2016;03041;Benissa;71452.00
2015;03041;Benissa;108000.00
2014;03041;Benissa;967000.00
2013;03041;Benissa;1327000.00
2012;03041;Benissa;1685000.00
2012;03042;Benitachell/Poble Nou de Benitatxell (el);905067.00
2013;03042;Benitachell/Poble Nou de Benitatxell (el);145000.00
2014;03042;Benitachell/Poble Nou de Benitatxell (el);123000.00
2015;03042;Benitachell/Poble Nou de Benitatxell (el);102000.00
2016;03042;Benitachell/Poble Nou de Benitatxell (el);311661.00
2017;03042;Benitachell/Poble Nou de Benitatxell (el);59285.00
2018;03042;Benitachell/Poble Nou de Benitatxell (el);77.00
2019;03042;Benitachell/Poble Nou de Benitatxell (el);1910.00
2020;03042;Benitachell/Poble Nou de Benitatxell (el);414.00
2021;03042;Benitachell/Poble Nou de Benitatxell (el);58.00
2021;03043;Biar;0.00
2020;03043;Biar;0.00
2019;03043;Biar;0.00
2018;03043;Biar;0.00
2017;03043;Biar;0.00
2016;03043;Biar;0.00
2015;03043;Biar;0.00
2014;03043;Biar;137000.00
2013;03043;Biar;194000.00
2012;03043;Biar;240000.00
2012;03044;Bigastro;9442591.00
2013;03044;Bigastro;9959847.00
2014;03044;Bigastro;10124748.00
2015;03044;Bigastro;11364000.00
2016;03044;Bigastro;11235863.00
2017;03044;Bigastro;11720214.00
2018;03044;Bigastro;15962034.00
2019;03044;Bigastro;14665337.00
2020;03044;Bigastro;15575652.00
2021;03044;Bigastro;15595086.00
2021;03045;Bolulla;0.00
2020;03045;Bolulla;0.00
2019;03045;Bolulla;0.00
2018;03045;Bolulla;0.00
2017;03045;Bolulla;0.00
2016;03045;Bolulla;0.00
2015;03045;Bolulla;0.00
2014;03045;Bolulla;0.00
2013;03045;Bolulla;22781.00
2012;03045;Bolulla;22781.00
2012;03046;Busot;1480466.00
2013;03046;Busot;1450467.00
2014;03046;Busot;33000.00
2015;03046;Busot;1146000.00
2016;03046;Busot;988680.00
2017;03046;Busot;761441.00
2018;03046;Busot;604337.00
2019;03046;Busot;278422.00
2020;03046;Busot;178063.00
2021;03046;Busot;76642.00
2021;03047;Calpe/Calp;9253415.00
2020;03047;Calpe/Calp;10980632.00
2019;03047;Calpe/Calp;13647108.00
2018;03047;Calpe/Calp;19258701.00
2017;03047;Calpe/Calp;25761844.00
2016;03047;Calpe/Calp;28615721.00
2015;03047;Calpe/Calp;33902000.00
2014;03047;Calpe/Calp;36839712.00
2013;03047;Calpe/Calp;40370112.00
2012;03047;Calpe/Calp;41648112.00
2012;03048;Callosa d'En Sarrià;4877518.00
2013;03048;Callosa d'En Sarrià;4235000.00
2014;03048;Callosa d'En Sarrià;2759000.00
2015;03048;Callosa d'En Sarrià;1588000.00
2016;03048;Callosa d'En Sarrià;971443.00
2017;03048;Callosa d'En Sarrià;405323.00
2018;03048;Callosa d'En Sarrià;290070.00
2019;03048;Callosa d'En Sarrià;260978.00
2020;03048;Callosa d'En Sarrià;133946.00
2021;03048;Callosa d'En Sarrià;67140.00
2021;03049;Callosa de Segura;5789371.00
2020;03049;Callosa de Segura;6099922.00
2019;03049;Callosa de Segura;6619731.00
2018;03049;Callosa de Segura;8004952.00
2017;03049;Callosa de Segura;9953602.00
2016;03049;Callosa de Segura;12432955.00
2015;03049;Callosa de Segura;14316000.00
2014;03049;Callosa de Segura;15499818.00
2013;03049;Callosa de Segura;17287818.00
2012;03049;Callosa de Segura;16734021.00
2012;03050;Campello (el);6483000.00
2013;03050;Campello (el);3536000.00
2014;03050;Campello (el);0.00
2015;03050;Campello (el);0.00
2016;03050;Campello (el);343108.00
2017;03050;Campello (el);408669.00
2018;03050;Campello (el);855890.00
2019;03050;Campello (el);840275.00
2020;03050;Campello (el);0.00
2021;03050;Campello (el);0.00
2021;03051;Campo de Mirra/Camp de Mirra (el);0.00
2020;03051;Campo de Mirra/Camp de Mirra (el);0.00
2019;03051;Campo de Mirra/Camp de Mirra (el);0.00
2018;03051;Campo de Mirra/Camp de Mirra (el);0.00
2017;03051;Campo de Mirra/Camp de Mirra (el);0.00
2016;03051;Campo de Mirra/Camp de Mirra (el);0.00
2015;03051;Campo de Mirra/Camp de Mirra (el);0.00
2014;03051;Campo de Mirra/Camp de Mirra (el);0.00
2013;03051;Campo de Mirra/Camp de Mirra (el);0.00
2012;03051;Campo de Mirra/Camp de Mirra (el);0.00
2012;03052;Cañada;0.00
2013;03052;Cañada;0.00
2014;03052;Cañada;0.00
2015;03052;Cañada;0.00
2016;03052;Cañada;0.00
2017;03052;Cañada;0.00
2018;03052;Cañada;0.00
2019;03052;Cañada;0.00
2020;03052;Cañada;0.00
2021;03052;Cañada;0.00
2021;03053;Castalla;0.00
2020;03053;Castalla;0.00
2019;03053;Castalla;0.00
2018;03053;Castalla;0.00
2017;03053;Castalla;0.00
2016;03053;Castalla;44398.00
2015;03053;Castalla;0.00
2014;03053;Castalla;0.00
2013;03053;Castalla;0.00
2012;03053;Castalla;639000.00
2012;03054;Castell de Castells;91906.00
2013;03054;Castell de Castells;91907.00
2014;03054;Castell de Castells;86517.00
2015;03054;Castell de Castells;41000.00
2016;03054;Castell de Castells;35114.00
2017;03054;Castell de Castells;0.00
2018;03054;Castell de Castells;0.00
2019;03054;Castell de Castells;0.00
2020;03054;Castell de Castells;0.00
2021;03054;Castell de Castells;0.00
2021;03055;Catral;956232.00
2020;03055;Catral;956232.00
2019;03055;Catral;956232.00
2018;03055;Catral;1503376.00
2017;03055;Catral;2273778.00
2016;03055;Catral;2697640.00
2015;03055;Catral;3024000.00
2014;03055;Catral;3326128.00
2013;03055;Catral;3423128.00
2012;03055;Catral;3528128.00
2012;03056;Cocentaina;3183000.00
2013;03056;Cocentaina;2849000.00
2014;03056;Cocentaina;2388000.00
2015;03056;Cocentaina;1614000.00
2016;03056;Cocentaina;1475797.00
2017;03056;Cocentaina;948209.00
2018;03056;Cocentaina;0.00
2019;03056;Cocentaina;51675.00
2020;03056;Cocentaina;0.00
2021;03056;Cocentaina;0.00
2021;03057;Confrides;0.00
2020;03057;Confrides;0.00
2019;03057;Confrides;0.00
2018;03057;Confrides;0.00
2017;03057;Confrides;0.00
2016;03057;Confrides;0.00
2015;03057;Confrides;0.00
2014;03057;Confrides;0.00
2013;03057;Confrides;0.00
2012;03057;Confrides;24244.00
2012;03058;Cox;99000.00
2013;03058;Cox;56000.00
2014;03058;Cox;0.00
2015;03058;Cox;0.00
2016;03058;Cox;0.00
2017;03058;Cox;0.00
2018;03058;Cox;1808157.00
2019;03058;Cox;1808157.00
2020;03058;Cox;1808157.00
2021;03058;Cox;1582137.00
2021;03059;Crevillent;2372001.00
2020;03059;Crevillent;1708457.00
2019;03059;Crevillent;3645551.00
2018;03059;Crevillent;4435308.00
2017;03059;Crevillent;4030051.00
2016;03059;Crevillent;4838536.00
2015;03059;Crevillent;5677000.00
2014;03059;Crevillent;5651000.00
2013;03059;Crevillent;6716000.00
2012;03059;Crevillent;7533000.00
2012;03060;Quatretondeta;66433.00
2013;03060;Quatretondeta;64433.00
2014;03060;Quatretondeta;58433.00
2015;03060;Quatretondeta;0.00
2016;03060;Quatretondeta;0.00
2017;03060;Quatretondeta;0.00
2018;03060;Quatretondeta;219.00
2019;03060;Quatretondeta;287.00
2020;03060;Quatretondeta;672.00
2021;03060;Quatretondeta;0.00
2021;03061;Daya Nueva;915049.00
2020;03061;Daya Nueva;893912.00
2019;03061;Daya Nueva;947966.00
2018;03061;Daya Nueva;981141.00
2017;03061;Daya Nueva;1015191.00
2016;03061;Daya Nueva;981025.00
2015;03061;Daya Nueva;1129000.00
2014;03061;Daya Nueva;1193482.00
2013;03061;Daya Nueva;1229482.00
2012;03061;Daya Nueva;1265481.00
2012;03062;Daya Vieja;3322486.00
2013;03062;Daya Vieja;3282486.00
2014;03062;Daya Vieja;2914486.00
2015;03062;Daya Vieja;2846000.00
2016;03062;Daya Vieja;2542250.00
2017;03062;Daya Vieja;2532684.00
2018;03062;Daya Vieja;2562613.00
2019;03062;Daya Vieja;2732330.00
2020;03062;Daya Vieja;2696234.00
2021;03062;Daya Vieja;2705700.00
2021;03063;Dénia;24462921.00
2020;03063;Dénia;22751735.00
2019;03063;Dénia;24528893.00
2018;03063;Dénia;28843545.00
2017;03063;Dénia;20332977.00
2016;03063;Dénia;27264571.00
2015;03063;Dénia;29320000.00
2014;03063;Dénia;22286000.00
2013;03063;Dénia;33265639.00
2012;03063;Dénia;39788590.00
2012;03064;Dolores;6238763.00
2013;03064;Dolores;5304920.00
2014;03064;Dolores;5985550.00
2015;03064;Dolores;2864000.00
2016;03064;Dolores;2424022.00
2017;03064;Dolores;2050129.00
2018;03064;Dolores;1674774.00
2019;03064;Dolores;1300688.00
2020;03064;Dolores;2733736.00
2021;03064;Dolores;2385534.00
2021;03065;Elche/Elx;6074108.00
2020;03065;Elche/Elx;16333208.00
2019;03065;Elche/Elx;22193040.00
2018;03065;Elche/Elx;37814765.00
2017;03065;Elche/Elx;57125545.00
2016;03065;Elche/Elx;87031598.00
2015;03065;Elche/Elx;117244000.00
2014;03065;Elche/Elx;127471000.00
2013;03065;Elche/Elx;141777123.00
2012;03065;Elche/Elx;154499959.00
2012;03066;Elda;23586861.00
2013;03066;Elda;18042168.00
2014;03066;Elda;12176215.00
2015;03066;Elda;6497000.00
2016;03066;Elda;4012899.00
2017;03066;Elda;349593.00
2018;03066;Elda;15787.00
2019;03066;Elda;0.00
2020;03066;Elda;0.00
2021;03066;Elda;54352.00
2021;03067;Facheca;0.00
2020;03067;Facheca;0.00
2019;03067;Facheca;0.00
2018;03067;Facheca;0.00
2017;03067;Facheca;0.00
2016;03067;Facheca;0.00
2015;03067;Facheca;0.00
2014;03067;Facheca;0.00
2013;03067;Facheca;104882.00
2012;03067;Facheca;0.00
2012;03068;Famorca;0.00
2013;03068;Famorca;0.00
2014;03068;Famorca;0.00
2015;03068;Famorca;0.00
2016;03068;Famorca;0.00
2017;03068;Famorca;0.00
2018;03068;Famorca;0.00
2019;03068;Famorca;0.00
2020;03068;Famorca;0.00
2021;03068;Famorca;0.00
2021;03069;Finestrat;9480639.00
2020;03069;Finestrat;10595314.00
2019;03069;Finestrat;11519361.00
2018;03069;Finestrat;13657624.00
2017;03069;Finestrat;14891459.00
2016;03069;Finestrat;16894528.00
2015;03069;Finestrat;18166000.00
2014;03069;Finestrat;19175277.00
2013;03069;Finestrat;20503277.00
2012;03069;Finestrat;20175860.00
2012;03070;Formentera del Segura;698997.00
2013;03070;Formentera del Segura;413997.00
2014;03070;Formentera del Segura;253997.00
2015;03070;Formentera del Segura;245000.00
2016;03070;Formentera del Segura;177183.00
2017;03070;Formentera del Segura;115378.00
2018;03070;Formentera del Segura;1166.00
2019;03070;Formentera del Segura;841.00
2020;03070;Formentera del Segura;516.00
2021;03070;Formentera del Segura;0.00
2021;03071;Gata de Gorgos;0.00
2020;03071;Gata de Gorgos;1917.00
2019;03071;Gata de Gorgos;4549.00
2018;03071;Gata de Gorgos;521220.00
2017;03071;Gata de Gorgos;746580.00
2016;03071;Gata de Gorgos;1412317.00
2015;03071;Gata de Gorgos;1682000.00
2014;03071;Gata de Gorgos;2272206.00
2013;03071;Gata de Gorgos;2623206.00
2012;03071;Gata de Gorgos;3068928.00
2012;03072;Gaianes;125091.00
2013;03072;Gaianes;110092.00
2014;03072;Gaianes;35000.00
2015;03072;Gaianes;31000.00
2016;03072;Gaianes;28640.00
2017;03072;Gaianes;0.00
2018;03072;Gaianes;0.00
2019;03072;Gaianes;0.00
2020;03072;Gaianes;0.00
2021;03072;Gaianes;0.00
2021;03073;Gorga;0.00
