EV_EJERCICIO;EV_INGRESO1;EV_INGRESO2;EV_INGRESO3;EV_INGRESO4;EV_INGRESO5;EV_INGRESO6;EV_INGRESO7;EV_INGRESO8;EV_INGRESO9;EV_ITOTAL;EV_GASTO1;EV_GASTO2;EV_GASTO3;EV_GASTO4;EV_GASTO5;EV_GASTO6;EV_GASTO7;EV_GASTO8;EV_GASTO9;EV_GTOTAL
2002;8089622.93;0.00;1686137.06;116386893.70;644004.08;0.00;15976771.23;0.00;22223440.00;165006869.00;40143739.79;26119331.41;4191783.95;23081691.98;0.00;42215011.24;18579212.76;0.00;10676097.87;165006869.00
2003;8089622.93;0.00;1738259.33;128381357.02;819435.83;0.00;17186026.03;0.00;13406221.86;169620923.00;42201787.67;30458651.77;4140999.31;23466851.70;0.00;38747839.06;17198571.63;0.00;13406221.86;169620923.00
2004;5088650.00;0.00;1784129.01;139885188.71;869048.74;0.00;18276558.54;0.00;14673290.00;180576865.00;44400998.66;32991593.11;3712900.00;23306613.17;0.00;34213839.64;27277630.42;0.00;14673290.00;180576865.00
2005;14607790.41;16729209.59;1828789.32;118193114.29;1059892.76;0.00;19433908.63;0.00;16141595.00;187994300.00;45334000.00;33029527.14;3167013.00;25084328.10;0.00;44155436.11;21082400.65;0.00;16141595.00;187994300.00
2006;14434723.00;18733570.00;1822712.00;134480238.42;1560476.01;0.00;19024824.57;0.00;16743456.00;206800000.00;48000000.00;37560182.21;3124650.00;26465586.07;0.00;57394087.57;17512038.15;0.00;16743456.00;206800000.00
2007;16520030.00;21759150.00;1916764.82;154880427.05;2262430.00;0.00;22278440.13;0.00;16802758.00;236420000.00;50558560.77;42900555.89;3842403.82;30826779.45;0.00;76950797.07;14538145.00;0.00;16802758.00;236420000.00
2008;20032950.00;25991430.00;1914800.83;165032919.50;3360530.00;0.00;19378485.67;0.00;17525719.00;253236835.00;56625588.06;46689207.20;4581613.00;33885589.29;0.00;78529860.54;15399257.91;0.00;17525719.00;253236835.00
2009;24454375.20;21734436.22;1970800.00;160895328.89;3380280.00;0.00;19184239.69;0.00;18256800.00;249876260.00;62521622.61;44245992.80;5418000.00;34347370.55;0.00;69056785.87;16029688.17;0.00;18256800.00;249876260.00
2010;20613816.23;18891816.06;1889300.00;132151148.00;3379948.00;0.00;17775771.71;0.00;15746500.00;210448300.00;56516478.84;34665114.01;3277700.00;35026461.48;0.00;48833330.04;16382715.63;0.00;15746500.00;210448300.00
2011;17556390.00;19550650.00;1892300.00;143911703.00;1266740.00;0.00;10050389.00;0.00;14239128.00;208467300.00;54618642.61;35933842.81;2961985.00;38748237.02;0.00;48869303.92;11198324.00;0.00;16136964.64;208467300.00
2012;16840529.66;17870310.10;1655300.00;134241525.00;1106271.06;0.00;6511514.18;0.00;0.00;178225450.00;56240901.45;31826276.14;3281300.00;40026976.00;0.00;24672441.41;6662055.00;0.00;15515500.00;178225450.00
2013;14987900.00;19611000.00;1223300.00;157425670.00;1391440.00;0.00;5440690.00;0.00;0.00;200080000.00;57535746.43;33233084.55;2436827.01;42277952.31;840000.00;30872985.70;9424404.00;0.00;23459000.00;200080000.00
2014;16429200.00;19895400.00;1219000.00;159009200.00;1322600.00;0.00;2434945.00;0.00;0.00;200310345.00;57346174.85;34666205.41;1133388.87;44248672.97;367170.00;32879902.90;5447130.00;1250000.00;22971700.00;200310345.00
2015;14601760.00;19731600.00;1317000.00;150874070.00;1334000.00;0.00;5364804.00;0.00;0.00;193223234.00;58015997.63;34650675.20;598100.00;46385081.44;314610.00;33058672.05;5655258.00;1050000.00;13494839.68;193223234.00
2016;15455120.00;20720035.00;1163000.00;164937290.00;1175500.00;0.00;3465496.00;0.00;0.00;206916441.00;57026553.14;37805219.65;45550.00;53835815.63;178000.90;33398324.23;6641957.45;800000.00;0.00;189731421.00
2017;16428700.00;24260560.00;1168000.00;169517820.00;703500.00;0.00;2849729.00;0.00;0.00;214928309.00;56438108.27;37631835.68;42300.00;53179019.04;137000.00;38898687.17;6818601.84;900000.00;0.00;194045552.00
2018;18093890.00;24369394.00;1239000.00;169694194.82;788200.00;0.00;2515321.18;0.00;0.00;216700000.00;57389308.96;39765332.35;43900.00;55436347.04;630000.00;32518458.52;9318853.13;1000000.00;0.00;196102200.00
2019;18499950.00;25662580.00;1115000.00;177371059.86;813400.00;0.00;945280.14;0.00;0.00;224407270.00;58434173.21;39056519.91;40750.00;61812883.75;1000000.00;42691982.54;11048220.59;0.00;0.00;214084530.00
2020;18581950.00;25662580.00;1084500.00;176748632.87;563300.00;0.00;940157.13;0.00;0.00;223581120.00;60836207.68;38934009.21;1040000.00;67223105.93;1250000.00;37016972.50;13124334.68;0.00;0.00;219424630.00
2021;18717390.00;27059550.00;1051994.55;190347838.00;548700.00;0.00;958307.45;0.00;0.00;238683780.00;62937391.35;41848691.09;947500.00;75107116.23;578056.73;38276819.33;18988205.27;0.00;0.00;238683780.00
2022;19492970.00;31105160.00;1054201.78;216253498.00;548600.00;0.00;3495140.22;0.00;0.00;271949570.00;64635958.88;40923976.75;945100.00;86295172.11;1256574.00;49026429.27;28866358.99;0.00;0.00;271949570.00